Ref,Val,Package,PosX,PosY,Rot,Side
"D1","RED LED","LED_D3.0mm",53.730000,-102.000000,0.000000,top
"D2","GREEN LED","LED_D3.0mm",53.730000,-141.200000,0.000000,top
"D3","YELLOW LED","LED_D3.0mm",53.730000,-92.000000,0.000000,top
"D4","GREEN LED","LED_D3.0mm",53.730000,-72.000000,0.000000,top
"D5","BLUE LED","LED_D3.0mm",53.730000,-82.000000,0.000000,top
"J2","USB_B_Micro","USB_Micro-B_Wuerth_614105150721_Vertical",54.780000,-150.300000,90.000000,top
"SW1","Reset","SW_PUSH_6mm",52.750000,-66.875000,90.000000,top
